"","Overall","var","Variables","Resample"
"495",10.7900585048924,"summary_X192",100,"Fold1"
"496",10.5605124225544,"summary_X272",100,"Fold1"
"497",10.2878520613216,"summary_X271",100,"Fold1"
"498",9.96992913754685,"summary_X1231",100,"Fold1"
"499",9.66325372747704,"summary_X203",100,"Fold1"
"500",9.59125025437674,"summary_X592",100,"Fold1"
"501",9.02019724003092,"title_X3038",100,"Fold1"
"502",8.8598212401966,"summary_X677",100,"Fold1"
"503",8.85417591568604,"title_X318",100,"Fold1"
"504",8.81768555878721,"title_X1383",100,"Fold1"
"505",8.81252400461769,"title_X582",100,"Fold1"
"506",8.36539637495405,"summary_X2093",100,"Fold1"
"507",8.34780676806046,"title_X149",100,"Fold1"
